whoWP	O
playsVVZ	O
lukeNN	B-character.name
onIN	O
starNN	B-movie.name
warsNNS	I-movie.name
newJJ	I-movie.name
hopeNN	I-movie.name
	
showNN	O
creditsNNS	O
forIN	O
theDT	B-movie.name
godfatherNN	I-movie.name
	
whoWP	O
wasVBD	O
theDT	O
mainJJ	O
actorNN	O
inIN	O
theDT	B-movie.name
exorcistNN	I-movie.name
	
findVV	O
theDT	O
femaleJJ	O
actressNN	O
fromIN	O
theDT	O
movieNN	O
shePP	B-movie.name
'sVBZ	I-movie.name
theDT	I-movie.name
manNN	I-movie.name
	
whoWP	O
playedVVD	O
doryNN	B-character.name
onIN	O
findingVVG	B-movie.name
nemoNN	I-movie.name
	
whoWP	O
wasVBD	O
theDT	O
femaleJJ	O
leadNN	O
inIN	O
residentJJ	B-movie.name
evilNN	I-movie.name
	
whoWP	O
playedVVD	O
guidoNN	B-character.name
inIN	O
lifeNN	B-movie.name
isVBZ	I-movie.name
beautifulJJ	I-movie.name
	
whoWP	O
wasVBD	O
theDT	O
co-starNN	O
inIN	O
shootNN	B-movie.name
toTO	I-movie.name
killVV	I-movie.name
	
findVV	O
theDT	O
guyNN	O
whoWP	O
playsVVZ	O
charlieNN	B-character.name
onIN	O
charlieNN	B-movie.name
'sPOS	I-movie.name
angelsNNS	I-movie.name
	
castNN	O
andCC	O
crewNN	O
ofIN	O
movieNN	O
theDT	B-movie.name
campaignNN	I-movie.name
	
castNN	O
andCC	O
crewNN	O
ofIN	O
theDT	B-movie.name
campaignNN	I-movie.name
	
whoWP	O
playsVVZ	O
inIN	O
theDT	O
movieNN	O
theDT	B-movie.name
campaignNN	I-movie.name
	
whoWP	O
starredVVD	O
inIN	O
theDT	B-movie.name
campaignNN	I-movie.name
	
whoWP	O
wereVBD	O
theDT	O
crewNN	O
forIN	O
theDT	B-movie.name
campaignNN	I-movie.name
	
whoWP	O
wasVBD	O
theDT	O
leadJJ	O
manNN	O
inIN	O
taxiNN	B-movie.name
driverNN	I-movie.name
	
starNN	O
ofIN	O
twilightNN	B-movie.name
	
whoWP	O
starsVVZ	O
inIN	O
vulgariaNN	B-movie.name
	
whatWP	O
areVBP	O
theDT	O
namesNNS	O
ofIN	O
femaleJJ	O
actorsNNS	O
whoWP	O
playedVVD	O
inIN	O
lostVVN	B-movie.name
	
canMD	O
iNNS	O
seeVV	O
theDT	O
setVVN	O
listNN	O
andCC	O
castNN	O
forIN	O
lifeNN	B-movie.name
isVBZ	I-movie.name
beautifulJJ	I-movie.name
	
castNN	O
andCC	O
crewNN	O
ofIN	O
lifeNN	B-movie.name
isVBZ	I-movie.name
beautifulJJ	I-movie.name
	
showNN	O
castNN	O
andCC	O
crewNN	O
forIN	O
theDT	O
movieNN	O
lifeNN	B-movie.name
isVBZ	I-movie.name
beautifulJJ	I-movie.name
	
whatWP	O
'sVBZ	O
theDT	O
castNN	O
forIN	O
lifeNN	B-movie.name
isVBZ	I-movie.name
beautifulJJ	I-movie.name
	
whoWP	O
playedVVD	O
inIN	O
lifeNN	B-movie.name
isVBZ	I-movie.name
beautifulJJ	I-movie.name
	
whoWP	O
playedVVD	O
inIN	O
lifeNN	B-movie.name
isVBZ	I-movie.name
beautifulJJ	I-movie.name
	
whoWP	O
wasVBD	O
inIN	O
lifeNN	B-movie.name
isVBZ	I-movie.name
beautifulJJ	I-movie.name
	
whoWP	O
wereVBD	O
robertoNP	B-actor.name
benigniNP	I-actor.name
'sPOS	O
costarsNNS	O
onIN	O
lifeNN	B-movie.name
isVBZ	I-movie.name
beautifulJJ	I-movie.name
	
iNNS	O
amVBP	O
lookingVVG	O
forIN	O
theDT	O
actorNN	O
thatWDT	O
playedVVD	O
inIN	O
prettyJJ	B-movie.name
womenNNS	I-movie.name
	
starNN	O
ofIN	O
troyNN	B-movie.name
	
whoWP	O
playedVVD	O
robinNN	B-character.name
inIN	O
batmanNN	B-movie.name
foreverRB	I-movie.name
	
findVV	O
theDT	O
maleJJ	O
actorNN	O
fromIN	O
dirtyJJ	B-movie.name
harryVVP	I-movie.name
	
showVV	O
mePP	O
theDT	O
actorNN	O
ofIN	O
theDT	O
